Name,Description,Address,Image,Motto,Longitude,Latitude
New Waldorf Hotel,,128 Jones ,P0012_01.jpg,Transient rooms,-122.4120614,37.7825338
Newport Hotel,,515 Jones ,P0011_05.jpg,Welcome,-122.4132585,37.7860489
O'Brien's Cocktail Lounge (green/blue/yellow cover),,390 Golden Gate Ave.  ,P0027_02.jpg,"For drinks, for fun. Cartoon says: ""What ho!""",-122.4170643,37.7816178
O'Brien's Cocktail Lounge (yellow/red/blue cover),,390 Golden Gate Ave.  ,P009_08.jpg,"For drinks, for fun. Cartoon says: ""Help wanted""",-122.4170643,37.7816178
Olympic Hotel (grey cover - multiples),,230 Eddy,P003_01.jpg,Heart of Downtown San Francisco,-122.4114669,37.7841903
Olympic Hotel (red cover - multiple copies),,230 Eddy,P004_07.jpg,In the heart of town,-122.4114669,37.7841903
One-Ten Eddy (red cover),,110 Eddy,P0013_01.jpg,,-122.4095094,37.7845014
One-Ten Eddy (green cover),,110 Eddy,P0016_01.jpg,Things are so high these days.,-122.4095094,37.7845014
Original Joe's (gold/red cover),"Original Joe’s stayed in its original location for 70 years until a fire forced it out. A renowned culinary institution today, the restaurant started with 14 seats at a bar and sawdust-covered floors.  The restaurant was known for large portion sizes, affordable prices, and diverse clientele.  The owners opened a San Jose branch in 1954 and a North Beach branch in 2012.",144 Taylor St.  ,P001_02.jpg,"Fine Italian foods, cocktail lounge",-122.4106652,37.7839092
Original Joe's (blue/gold cover),,144 Taylor St.  ,P001_03.jpg,"Fine Italian foods, cocktail lounge",-122.4106652,37.7839092
Padre Hotel / Padre Lounge,"During an era when African Americans were banned by San Francisco Hotels, the owner of the Padre Hotel admitted Black dancer Bill Robinson as a guest. Padre Hotel became""vice nest"" in 60s and 70s. Gene Clark (of The Byrds) and David Crosby recount living there.",235-241 Jones ,,,-122.412696,37.7834583
Pam Pam Coffee Shop,"Pam Pam's was run by restaurateur Selmar J. Monro, who was called ""The Mayor of Geary Street"" by columnist Herb Caen. Monro ran a dozen restaurants during his career. The most well known were Pam Pam at Geary and Taylor, Pam Pam East at Geary and Mason, and Rosebud's next to the St. Francis Hotel. ",501 Geary,P0021_05.jpg,,-122.4119065,37.7866571
Paris Louvre,,631 O'Farrell ,,The house of crepes suzette,-122.4151808,37.7852037
Peter Pan,,30 Mason ,P005_01.jpg,Where good fellows get together.,-122.408787,37.7837637
Phil Lehr's Steakery,,299 Ellis St,,America's most elegant steakhouse,-122.4109306,37.7849443
Pirates Cave,"Liquor license suspended on March 8th 1934. Inside: ""Checks Sloan's All-Star Cowboy Entertainment Nightly.""",972 Market ,P009_04.jpg,,-122.40995,37.783035
Polo's,,34 Mason,P0018_02.jpg,A bit of old North Beach,-122.4090592,37.7839519
President Room,,939 Geary ,P009_05.jpg,Your favorite mixed drinks,-122.4188437,37.7858059
President Room,,939 Geary ,P0026_04.jpg,Double top feature,-122.4188437,37.7858059
President Room,,939 Geary ,,"Sailor, beware!",-122.4188437,37.7858059
Queen's Restaurant,Accused of overcharging for food on March 22nd 1945 (SF Chronicle).,89 Turk ,,Naughty Nautical; Chinese Dishes to Delight You,-122.4105435,37.7832478
Rafael's,,335 Jones ,,,-122.412965,37.784422
Rainbow Room,,322 Mason St. ,P0022_03.jpg,San Francisco's most colorful cocktail lounge,-122.4096341,37.7866347
Rebound Club,,688 Geary ,P0021_03.jpg,,-122.4146193,37.7867078
Red Robin,,316 Eddy St.  ,,We aim to please,-122.4130617,37.7840735
RKO Grill,,35 Taylor St,P006_05.jpg,The bright spot of San Francisco; The place to eat & meet,-122.4110909,37.7826831
Robin Hood (green cover),,115 Mason ,P008_07.jpg,Continuous all-girl revue,-122.409672,37.7846083
Robin Hood (white/red/black cover),,115 Mason ,,Continuous entertainment: All star revue,-122.409672,37.7846083
Rohlf's,,Turk & Taylor,,Better food at moderate prices,-122.4107842,37.7832142
Romarco's,,162 Turk ,P0010_06.jpg,,-122.4118611,37.7833763
Rosy's Supper Club,,335 Jones ,P0011_04.jpg,Atmosphere for the San Francisco gentleman,-122.412965,37.784422
S. S. Sloppy Joe's,,150 Ellis St.  ,P0023_01.jpg,Call to arms,-122.4088485,37.7855056
Saw Dust Club,,405 Eddy ,P003_06.jpg,Net results: Your favorite spot,-122.4145127,37.7835854
Ship's Bell (Harriet's),,501 Jones ,P0021_04.jpg,,-122.4131245,37.7858891
Shoe Shine Stand (Warfield Theater),,990 Market ,,We make the whole world shine,-122.4101182,37.7826582
Silva's Club,"In June 1955 the Armed Forces Disciplinary Control Board placed several Bay Area bars, including Silva's, off limits to military personnel, indicating that it may have been an LGBTQ bar.",164 Taylor,P001_04.jpg,,-122.4107207,37.7839713
Silver Dollar,,64 Eddy ,P002_01.jpg,Show place of San Francisco: Never a dull moment,-122.4088249,37.7844326
Silver Dollar,,64 Eddy ,P0015_01.jpg,Always a friendly welcome,-122.4088249,37.7844326
Silver Rail,,974 Market ,P009_02.jpg,Visit our bar for the lowest prices in town,-122.4100064,37.782939
State Wine & Liquor Store,,573 O'Farrell St ,P0020_01 .jpg,Better wine & liquors will help on all ocasions,-122.413964,37.7854476
Sterns,,101 Powell St.,P0023_02.jpg,Ham 'n eggs served in the pan,-122.4081214,37.7856048
Tahitian Hut,,801 Geary ,P006_01.jpg,The gayest spot in town,-122.416591,37.7861512
"Bowery, The",,128 Eddy St. ,,You haven't seen San Francisco until you've seen -- THE BOWERY,-122.4097736,37.784401
"Broiler, The",,118 Jones ,,Restaurant of Distinction,-122.4120614,37.7824221
"Cheateau, The",,55 Taylor ,,House of Good Food,-122.4110216,37.7829093
"Irisher, The",,141 Mason ,,Continous entertainment: San Francisco'smost colorful cocktail lounge,-122.4094495,37.7849543
"Port Hole, The (blue/cream cover)"," The Port Hole openly market to sailors during the WWII era. It was eventually put on the off limits to serviceman list due to the ""round-the-clock drinking."" -SF Chronicle March 31st 1955",126 Turk St.  ,P0017_04.jpg,Meet me at the Port Hole; You talked me right into it,-122.4113983,37.7833739
"Port Hole, The (red/white/blue cover)",,126 Turk St.  ,,,-122.4113983,37.7833739
"Port Hole, The (grey/blue/yellow cover)",,19 Mason ,P0014_03.jpg,Famous cocktail lounge known the world over,-122.4091126,37.7833108
"Top Drawer, The",,200 Hyde St. ,P0024_01.jpg,,-122.4156095,37.7827984
"Tiffinette, The",,117 Taylor ,P0012_06.jpg,Finest Chinese and American dishes,-122.4111155,37.7835269
Til Two,,502 Ellis ,P007_08.jpg,A congenial rendezvous,-122.4147502,37.7848256
Tin Pan Alley,,118 Turk St.,,Music sweet & hot: Out of this world,-122.4112773,37.7832767
Tiny's (red/cream cover),,437-439 Powell St. ,P0022_01.jpg,Tiny's special friend chicken,-122.4087835,37.7887704
Tiny's (black/gold cover),,55 Taylor ,P008_09.jpg,Good food well served,-122.4110216,37.7829093
Tiny's Waffle Shop (blue/red/black cover) / Menlo Social Club,,24-30 Turk St.,P0018_03.jpg,,-122.4095931,37.7835142
Tommy's Joynt,"Tommy's Joynt is the Original Hof-Brau of San Francisco, and has become one of San Francisco's longest living institutions. Founded in 1947 by Tommy Harris, the business is still in the family. According to a Chronicle article by Ruthe Stein, in 1964 Janis Joplin rented an apartment next door to Tommy’s Joynt and allegedly, ""drunk on cheap wine, dined on the remains of a turkey carcass tossed in the trash by the restaurant.” ",645 Geary St.   ,P009_07.jpg,The nicest joynt in town!,-122.413856,37.7864295
Tommy's Joynt,,645 Geary St. ,,"""Sing with Tommy"" entertainment nitely",-122.413856,37.7864295
Tortuga,,335 Jones,,,-122.412965,37.784422
"Turf Inn, The",,18 Turk ,P007_04.jpg,San Francisco's newest rendezvous,-122.4095151,37.7835243
Bobby Watson Tuxedo Club,"Bobby Watson Tuxedo Club was ruled ""out of bounds"" by the army and navy in 1944.  In 1942 it got in trouble for serving alcohol past 2 a.m., and in 1946 it faced an infraction for not having the correct restaurant equipment.  In 1955 a B-Girl named Nelda and the bartender Sonny were arrested for employing a bar girl and wildly changing the prices of drinks. Nelda allegedly fondled a state officer and enticed him to buy drinks, racking up a total of $25.  A day later, a district attorney ruled that the two could not be prosecuted because Nelda was co-owner of the bar. The case was contested by the State Liquor Director who eventually would file charges to plug the legal loophole.  When asked where Nelda had acquired the money to buy into the business, she admitted to receiving the $3000 from a married bar equipment salesman who she didn't want to embarass.  As Nelda was in court, co-owner James W. McQuade, a disabled former policeman, was arrested on charges of being a bookmaker.  On October 6 1955 their liquor license was revoked.",105 Turk ,P003_04.jpg,"Entertainmennt, cocktails",-122.4111122,37.7829663
Vincent Hotel / Alpine Hotel,,459 Turk ,P0010_07.jpg,,-122.4166667,37.7823922
Will King's,,35 Taylor ,P006_06.jpg,The bright spot of San Francisco; The place to meet & eat.,-122.4110909,37.7826831
Y.M.C.A. Hotel (silver/red cover),,351 Turk ,P0017_03.jpg,For men women & families - Convenient to shopping and theater districts,-122.4148047,37.7825092
Y.M.C.A. Hotel (black/green cover),,351 Turk ,P006_07.jpg,Four blocks from the busiest corner in San Francisco,-122.4148047,37.7825092
Lena Widget's ,,587 Turk ,,Your Neighborhood Store,-122.4188073,37.7821976
